"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190101 ~ 20191231"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도"
"경기도 광주시 경안동","일반","2*","광주대로","일반상업","업무","25m이상","982.65","830.00","1,933,600","null","201911","26"," ","2007"
"경기도 광주시 곤지암읍 건업리","일반","2**","-","계획관리","제2종근린생활","8m미만","382.2","894.00","47,000","null","201903","4"," ","2010"
"경기도 광주시 곤지암읍 건업리","일반","3**","광여로","계획관리","제2종근린생활","8m미만","418.55","875.00","53,900","null","201905","28"," ","2018"
"경기도 광주시 곤지암읍 건업리","일반","2**","광여로","계획관리","제2종근린생활","8m미만","390","986.00","74,500","null","201906","9"," ","2018"
"경기도 광주시 곤지암읍 건업리","일반","4*","건업길","계획관리","제1종근린생활","8m미만","118.1","496.00","20,000","null","201907","30"," ","2009"
"경기도 광주시 곤지암읍 건업리","일반","1**","건업길","계획관리","제2종근린생활","8m미만","476","1459.00","70,000","null","201911","11"," ","2013"
"경기도 광주시 곤지암읍 건업리","일반","5**","광여로733번길","계획관리","제2종근린생활","8m미만","182.4","457.00","35,000","null","201912","6"," ","2016"
"경기도 광주시 곤지암읍 건업리","일반","5**","광여로733번길","계획관리","제2종근린생활","8m미만","352.5","890.00","62,000","null","201912","6"," ","2016"
"경기도 광주시 곤지암읍 건업리","일반","2**","광여로849번길","계획관리","제2종근린생활","8m미만","414.7","1176.00","91,800","null","201912","23"," ","1996"
"경기도 광주시 곤지암읍 곤지암리","일반","3**","곤지암로","제1종일반주거","제1종근린생활","25m미만","482.52","378.00","140,000","null","201902","11"," ","1984"
"경기도 광주시 곤지암읍 곤지암리","일반","1*","경충대로","생산관리","제1종근린생활","25m미만","430","1301.00","109,588","null","201906","20"," ","2004"
"경기도 광주시 곤지암읍 곤지암리","일반","1**","광여로","계획관리","제1종근린생활","25m미만","690","1960.00","185,500","null","201911","5"," ","2019"
"경기도 광주시 곤지암읍 만선리","일반","2**","신만로","계획관리","제2종근린생활","8m미만","119.7","351.00","24,500","null","201904","10"," ","1995"
"경기도 광주시 곤지암읍 봉현리","일반","2**","새재길","계획관리","제2종근린생활","8m미만","490","1330.00","92,800","null","201901","4"," ","2010"
"경기도 광주시 곤지암읍 봉현리","일반","4**","새재길","생산관리","제1종근린생활","8m미만","150","747.00","30,000","null","201904","16"," ","2017"
"경기도 광주시 곤지암읍 봉현리","일반","4**","신만로","보전관리","제1종근린생활","8m미만","176","892.00","55,000","null","201905","3"," ","2018"
"경기도 광주시 곤지암읍 봉현리","일반","2**","새재길","계획관리","제2종근린생활","-","198","787.00","47,500","null","201906","21"," ","2019"
"경기도 광주시 곤지암읍 부항리","일반","2*","부항길","계획관리","제2종근린생활","-","396","1562.00","81,000","null","201901","18"," ","2018"
"경기도 광주시 곤지암읍 부항리","일반","4*","부항길","계획관리","제2종근린생활","-","465","1223.00","81,732","null","201903","23"," ","2018"
"경기도 광주시 곤지암읍 부항리","일반","1**","부항길97번길","계획관리","제2종근린생활","8m미만","196.8","479.00","26,000","null","201906","5"," ","2006"
"경기도 광주시 곤지암읍 부항리","일반","4*","부항길","계획관리","제2종근린생활","8m미만","434.4","1275.00","84,790","null","201907","29"," ","2019"
"경기도 광주시 곤지암읍 부항리","일반","4*","부항길","계획관리","제2종근린생활","8m미만","499.14","1382.00","95,316","null","201907","29"," ","2019"
"경기도 광주시 곤지암읍 부항리","일반","4**","가마을길","생산관리","제1종근린생활","8m미만","191.26","998.00","47,500","null","201908","1"," ","2017"
"경기도 광주시 곤지암읍 부항리","일반","4**","가마을길","생산관리","제1종근린생활","8m미만","150.06","771.00","42,200","null","201910","21"," ","2017"
"경기도 광주시 곤지암읍 부항리","일반","3**","가마을길","생산관리","제1종근린생활","-","116","609.00","45,000","null","201911","17"," ","2019"
"경기도 광주시 곤지암읍 부항리","일반","3**","가마을길","생산관리","제2종근린생활","-","116","609.00","45,000","null","201911","17"," ","2019"
"경기도 광주시 곤지암읍 부항리","일반","4*","부항길","계획관리","제2종근린생활","8m미만","493.16","1244.00","91,620","null","201911","29"," ","2019"
"경기도 광주시 곤지암읍 삼리","일반","5**","독고개길","자연녹지","제1종근린생활","8m미만","153.6","315.00","28,720","null","201909","2"," ","2000"
"경기도 광주시 곤지암읍 삼리","일반","1**","평촌길","제1종일반주거","제1종근린생활","12m미만","725.94","469.00","245,000","null","201910","17"," ","2004"
"경기도 광주시 곤지암읍 삼리","집합","1**","평촌길","제3종일반주거","제2종근린생활","25m미만","15.44"," ","1,000","null","201911","29"," ","2001"
"경기도 광주시 곤지암읍 수양리","일반","2**","구수동길","계획관리","제2종근린생활","-","421.46","1065.00","99,600","null","201901","9"," ","2018"
"경기도 광주시 곤지암읍 수양리","일반","1**","경충대로184번길","생산관리","제2종근린생활","8m미만","396","1079.00","70,600","null","201904","10"," ","2018"
"경기도 광주시 곤지암읍 수양리","일반","1**","경충대로184번길","생산관리","제2종근린생활","8m미만","396","1079.00","73,000","null","201906","21"," ","2018"
"경기도 광주시 곤지암읍 신대리","일반","1**","신대길","생산녹지","제2종근린생활","12m미만","288.54","1452.00","115,000","null","201909","28"," ","2019"
"경기도 광주시 곤지암읍 연곡리","일반","3**","광여로","계획관리","제2종근린생활","8m미만","198","621.00","30,000","null","201902","11"," ","1997"
"경기도 광주시 곤지암읍 연곡리","일반","5*","광여로","계획관리","제2종근린생활","8m미만","485.06","1280.00","85,600","null","201902","21"," ","2015"
"경기도 광주시 곤지암읍 연곡리","일반","5*","광여로","계획관리","제2종근린생활","8m미만","491.46","1390.00","28,000","null","201909","24"," ","2015"
"경기도 광주시 곤지암읍 연곡리","일반","3**","광여로","계획관리","제2종근린생활","8m미만","294","2504.00","99,467","null","201910","31"," ","2016"
"경기도 광주시 곤지암읍 열미리","일반","2**","광여로","계획관리","제2종근린생활","8m미만","397.08","1087.00","96,527","null","201908","12"," ","2019"
"경기도 광주시 곤지암읍 열미리","일반","2**","광여로","계획관리","제2종근린생활","8m미만","395.44","1089.00","94,332","null","201908","12"," ","2019"
"경기도 광주시 곤지암읍 열미리","일반","1**","열미길","계획관리","제2종근린생활","8m미만","492.42","1503.00","92,900","null","201910","23"," ","2016"
"경기도 광주시 곤지암읍 오향리","일반","2**","오향길","계획관리","제2종근린생활","8m미만","477","984.00","60,840","null","201902","13"," ","1998"
"경기도 광주시 곤지암읍 오향리","일반","6*","광여로","농림","기타","8m미만","179.36","1504.00","49,050","null","201905","29"," ","2018"
"경기도 광주시 곤지암읍 오향리","일반","4**","광여로","생산관리","제1종근린생활","8m미만","198.78","998.00","52,050","null","201908","31"," ","2017"
"경기도 광주시 곤지암읍 유사리","일반","1**","만삼로","생산관리","제1종근린생활","12m미만","199.05","998.00","56,800","null","201908","20"," ","2018"
"경기도 광주시 곤지암읍 이선리","일반","4**","내선길","계획관리","제2종근린생활","8m미만","339","930.00","60,350","null","201901","2"," ","2019"
"경기도 광주시 곤지암읍 이선리","일반","4**","내선길","계획관리","제2종근린생활","8m미만","459","1427.00","91,000","null","201909","26"," ","2018"
"경기도 광주시 곤지암읍 이선리","일반","1**","내선길","계획관리","제2종근린생활","-","398.31","1016.00","79,200","null","201910","4"," ","2019"
"경기도 광주시 곤지암읍 이선리","일반","1**","내선길","계획관리","제2종근린생활","-","398.31","1016.00","78,200","null","201910","4"," ","2019"
"경기도 광주시 곤지암읍 이선리","일반","1**","내선길","계획관리","제2종근린생활","-","398.31","1149.00","83,350","null","201910","4"," ","2019"
"경기도 광주시 남종면 분원리","일반","4*","산수로","제1종일반주거","숙박","12m미만","832.86","704.00","171,000","null","201907","5"," ","1992"
"경기도 광주시 남한산성면 검복리","일반","2**","검복길","개발제한구역","제2종근린생활","8m미만","197.78","329.00","57,900","null","201907","18"," ","2008"
"경기도 광주시 남한산성면 광지원리","일반","1**","회안대로","제1종일반주거","제2종근린생활","25m이상","194.49","527.00","79,801","null","201910","8"," ","2011"
"경기도 광주시 남한산성면 광지원리","일반","1**","회안대로","제1종일반주거","제2종근린생활","25m이상","197","472.00","69,649","null","201910","8"," ","2011"
"경기도 광주시 남한산성면 불당리","일반","1**","불당길","제1종일반주거","제2종근린생활","8m미만","226.5","254.00","33,000","null","201902","14"," ","1998"
"경기도 광주시 도척면 궁평리","일반","1**","다람로40번길","일반공업","제1종근린생활","8m미만","793.8","635.00","98,400","null","201905","28"," ","2018"
"경기도 광주시 도척면 궁평리","일반","1**","도척윗로","생산관리","제1종근린생활","8m미만","155","800.00","51,000","null","201907","4"," ","2018"
"경기도 광주시 도척면 궁평리","일반","1**","도척윗로","생산관리","제1종근린생활","8m미만","160","820.00","50,000","null","201907","4"," ","2018"
"경기도 광주시 도척면 궁평리","일반","1**","도척윗로","생산관리","제1종근린생활","8m미만","155","800.00","51,000","null","201907","4"," ","2018"
"경기도 광주시 도척면 궁평리","일반","2**","다람로36번길","일반공업","제2종근린생활","8m미만","326.4","82.00","7,500","null","201909","9"," ","1993"
"경기도 광주시 도척면 노곡리","일반","2**","도척로584번길","계획관리","제2종근린생활","8m미만","226.8","827.00","41,800","null","201909","3"," ","2000"
"경기도 광주시 도척면 도웅리","일반","2*","얼음골길19번길","계획관리","제2종근린생활","8m미만","290.05","694.00","31,600","null","201906","4"," ","2014"
"경기도 광주시 도척면 방도리","일반","3**","방도길66번길","계획관리","제1종근린생활","8m미만","395.7","998.00","47,000","null","201903","11"," ","2008"
"경기도 광주시 도척면 방도리","일반","3**","방도길66번길","계획관리","제1종근린생활","8m미만","370","793.00","37,000","null","201903","11"," ","2008"
"경기도 광주시 도척면 상림리","일반","3*","도척윗로","계획관리","제2종근린생활","12m미만","197.37","790.00","40,300","null","201901","29"," ","1998"
"경기도 광주시 도척면 상림리","일반","3*","도척윗로","계획관리","제2종근린생활","8m미만","338.87","859.00","48,800","null","201901","29"," ","2017"
"경기도 광주시 도척면 상림리","일반","4*","사기소길","계획관리","제1종근린생활","8m미만","648","2850.00","132,866","null","201904","18"," ","2012"
"경기도 광주시 도척면 상림리","일반","1*","-","계획관리","제1종근린생활","8m미만","198","600.00","20,000","null","201906","22"," ","1997"
"경기도 광주시 도척면 유정리","일반","5**","도척로","계획관리","제2종근린생활","8m미만","199.1","921.00","35,898","null","201901","15"," ","1996"
"경기도 광주시 도척면 유정리","일반","2**","도척로699번길","계획관리","제2종근린생활","8m미만","493.5","1503.00","98,000","null","201905","3"," ","2019"
"경기도 광주시 도척면 유정리","일반","2**","도척로699번길","계획관리","제2종근린생활","8m미만","492.72","916.00","70,823","null","201910","18"," ","2015"
"경기도 광주시 도척면 유정리","일반","2**","도척로","계획관리","제2종근린생활","12m미만","292.32","820.00","60,000","null","201910","23"," ","1997"
"경기도 광주시 도척면 진우리","일반","3**","도척로","계획관리","제2종근린생활","12m미만","397.08","1254.00","117,050","null","201903","13"," ","2018"
"경기도 광주시 도척면 진우리","일반","3**","도척로","계획관리","제2종근린생활","-","397.08","1375.00","123,500","null","201903","13"," ","2018"
"경기도 광주시 도척면 진우리","일반","2*","도척로","계획관리","제2종근린생활","8m미만","399","960.00","85,800","null","201903","18"," ","2008"
"경기도 광주시 도척면 진우리","일반","2*","도척로","계획관리","제2종근린생활","12m미만","494.52","996.00","126,000","null","201903","31"," ","2006"
"경기도 광주시 도척면 진우리","일반","5**","-","계획관리","제2종근린생활","8m미만","493.57","1681.00","99,900","null","201905","10"," ","2019"
"경기도 광주시 도척면 진우리","일반","8**","저수지길","계획관리","제2종근린생활","8m미만","336","922.00","59,350","null","201906","5"," ","2018"
"경기도 광주시 도척면 진우리","일반","6**","저수지길","생산관리","제1종근린생활","12m미만","198.6","999.00","59,000","null","201906","7"," ","2018"
"경기도 광주시 도척면 진우리","일반","6**","저수지길","생산관리","제1종근린생활","12m미만","198.6","999.00","59,000","null","201906","7"," ","2018"
"경기도 광주시 도척면 진우리","일반","6**","저수지길","계획관리","제1종근린생활","8m미만","704.94","1100.00","90,135","null","201906","18"," ","2006"
"경기도 광주시 도척면 진우리","일반","8**","저수지길","계획관리","제2종근린생활","-","474.33","1227.00","86,762","null","201907","3"," ","2019"
"경기도 광주시 도척면 진우리","일반","8**","저수지길","계획관리","제2종근린생활","8m미만","492.66","1347.00","98,000","null","201907","31"," ","2018"
"경기도 광주시 도척면 진우리","일반","5**","저수지길","계획관리","제2종근린생활","8m미만","110.4","284.00","28,000","null","201909","20"," ","2017"
"경기도 광주시 도척면 진우리","일반","8**","저수지길","계획관리","제2종근린생활","8m미만","338.4","926.00","64,422","null","201911","12"," ","2019"
"경기도 광주시 도척면 진우리","집합","1***","도척로","계획관리","제2종근린생활","12m미만","25.02"," ","9,300","1","201912","3"," ","2005"
"경기도 광주시 도척면 추곡리","일반","1**","-","계획관리","제2종근린생활","8m미만","220","718.00","20,000","null","201912","5"," ","2002"
"경기도 광주시 목동","일반","2**","광남안로","계획관리","제1종근린생활","25m미만","594.35","1476.00","153,000","null","201902","25"," ","1997"
"경기도 광주시 목동","집합","2**","광남안로","계획관리","제1종근린생활","8m미만","59.8"," ","14,000","1","201903","16"," ","1998"
"경기도 광주시 목동","일반","3**","목동길46번길","계획관리","제2종근린생활","8m미만","198.72","533.00","59,400","null","201903","28"," ","2019"
"경기도 광주시 목동","일반","1**","염소골길","계획관리","제2종근린생활","8m미만","399.6","1108.00","99,550","null","201905","7"," ","2011"
"경기도 광주시 목동","일반","4**","목동길34번길","계획관리","제2종근린생활","8m미만","301.1","766.00","81,000","null","201906","19"," ","2013"
"경기도 광주시 목동","일반","4**","목동길36번길","계획관리","제2종근린생활","8m미만","262.28","698.00","63,000","null","201907","16"," ","2016"
"경기도 광주시 목동","일반","2**","광남안로","계획관리","제2종근린생활","8m미만","101.5","260.00","33,000","null","201912","13"," ","2018"
"경기도 광주시 목현동","집합","3**","-","계획관리","제2종근린생활","8m미만","81.25"," ","11,400","null","201903","9"," ","2010"
"경기도 광주시 목현동","집합","6*","이배재로","계획관리","제1종근린생활","8m미만","69.3"," ","21,500","null","201908","20"," ","2016"
"경기도 광주시 삼동","일반","2**","순암로","계획관리","제2종근린생활","12m미만","716.92","1227.00","200,000","null","201909","11"," ","1992"
"경기도 광주시 삼동","일반","2**","삼지곡길","계획관리","제2종근린생활","12m미만","157.2","141.00","41,000","null","201909","24"," ","2003"
"경기도 광주시 삼동","일반","2**","순암로","계획관리","제1종근린생활","12m미만","716.92","1227.00","200,000","null","201910","18"," ","1992"
"경기도 광주시 송정동","일반","5**","통미로","제1종일반주거","제1종근린생활","25m미만","306.72","139.00","57,500","null","201904","6"," ","1995"
"경기도 광주시 송정동","일반","1**","중앙로187번길","제1종일반주거","제2종근린생활","12m미만","297.27","199.00","106,500","null","201904","23"," ","2015"
"경기도 광주시 송정동","일반","3**","중앙로335번길","자연녹지","제2종근린생활","12m미만","115.44","784.00","70,000","null","201906","5"," ","1984"
"경기도 광주시 송정동","일반","*","경안천로","계획관리","제2종근린생활","25m미만","236.6","339.00","75,228","null","201907","1"," ","2001"
"경기도 광주시 송정동","일반","1**","중앙로203번길","제1종일반주거","제2종근린생활","12m미만","200.87","195.00","55,000","null","201908","22"," ","1991"
"경기도 광주시 송정동","일반","4**","중앙로","제1종일반주거","제2종근린생활","25m미만","796.76","648.00","335,000","null","201909","20"," ","2004"
"경기도 광주시 송정동","일반","1*","경안천로","계획관리","제2종근린생활","25m미만","99","310.00","85,280","null","201911","6"," ","1997"
"경기도 광주시 쌍령동","일반","1**","경충대로","자연녹지","제1종근린생활","25m이상","400.4","1023.00","274,000","null","201902","11"," ","2003"
"경기도 광주시 쌍령동","집합","5**","경충대로","준주거","제2종근린생활","-","33.57"," ","23,000","null","201902","15"," ","2017"
"경기도 광주시 쌍령동","집합","2**","경충대로","자연녹지","제2종근린생활","8m미만","79.45"," ","12,000","null","201903","4"," ","2017"
"경기도 광주시 쌍령동","일반","4**","경충대로","제1종일반주거","제1종근린생활","8m미만","493.35","225.00","80,000","null","201904","2"," ","2010"
"경기도 광주시 쌍령동","집합","3**","경충대로1422번길","제1종일반주거","제1종근린생활","25m미만","29.98"," ","19,800","1","201904","14"," ","2003"
"경기도 광주시 쌍령동","집합","2**","경충대로1480번길","제1종일반주거","제2종근린생활","25m이상","72"," ","31,300","3","201907","3"," ","2019"
"경기도 광주시 쌍령동","집합","3**","경충대로1422번길","제3종일반주거","제2종근린생활","12m미만","19.8"," ","7,200","null","201908","9"," ","2003"
"경기도 광주시 쌍령동","일반","4**","경충대로","자연녹지","제2종근린생활","25m이상","589","632.00","178,000","null","201910","9"," ","2001"
"경기도 광주시 역동","일반","1**","역동로","제1종일반주거","제1종근린생활","25m미만","349.56","248.00","133,000","null","201904","3"," ","2001"
"경기도 광주시 역동","집합","4*","역동로","준주거","제1종근린생활","25m미만","292.33"," ","50,600","null","201905","30"," ","1999"
"경기도 광주시 역동","집합","4*","역동로","준주거","제2종근린생활","25m미만","111.87"," ","17,500","null","201905","30"," ","1999"
"경기도 광주시 역동","집합","4*","역동로","준주거","제1종근린생활","25m미만","193.86"," ","30,100","null","201905","30"," ","1999"
"경기도 광주시 역동","집합","2*","-","일반상업","제1종근린생활","12m미만","142.23"," ","65,000","2","201908","7"," ","2003"
"경기도 광주시 역동","일반","6*","역동로","제1종일반주거","제2종근린생활","25m미만","229.57","165.00","75,000","null","201910","1"," ","1991"
"경기도 광주시 오포읍 고산리","일반","2**","오포로","준주거","제1종근린생활","12m미만","107.46","232.00","66,400","null","201901","21"," ","null"
"경기도 광주시 오포읍 고산리","일반","2**","양촌길","농림","제2종근린생활","8m미만","399","827.00","55,000","null","201901","31"," ","2018"
"경기도 광주시 오포읍 고산리","일반","1**","오포로","자연녹지","제2종근린생활","12m미만","199.82","892.00","82,936","null","201902","7"," ","2019"
"경기도 광주시 오포읍 고산리","일반","4**","고산길","제2종일반주거","제1종근린생활","8m미만","297","824.00","135,862","null","201902","13"," ","1993"
"경기도 광주시 오포읍 고산리","집합","1**","오포로","제2종일반주거","제2종근린생활","12m미만","18.36"," ","14,300","1","201905","14"," ","null"
"경기도 광주시 오포읍 고산리","일반","1**","세피내길","계획관리","제2종근린생활","8m미만","192.34","468.00","48,900","null","201911","1"," ","2004"
"경기도 광주시 오포읍 능평리","일반","2**","창뜰아랫길","보전관리","제1종근린생활","8m미만","494.33","792.00","85,000","null","201902","11"," ","2014"
"경기도 광주시 오포읍 능평리","일반","4**","태재로","계획관리","제2종근린생활","25m이상","877.95","879.00","245,700","null","201906","13"," ","2004"
"경기도 광주시 오포읍 능평리","일반","2**","능평로","계획관리","기타","12m미만","354.36","445.00","120,000","null","201907","11"," ","2000"
"경기도 광주시 오포읍 능평리","집합","3**","능평로","계획관리","제1종근린생활","8m미만","76.8"," ","10,200","null","201910","27"," ","2011"
"경기도 광주시 오포읍 매산리","일반","6**","회안대로","계획관리","제2종근린생활","25m이상","138.9","586.00","115,000","null","201903","12"," ","1992"
"경기도 광주시 오포읍 매산리","일반","6**","회안대로","자연녹지","제1종근린생활","8m미만","163.56","411.00","47,000","null","201903","26"," ","1996"
"경기도 광주시 오포읍 매산리","일반","6**","회안대로","자연녹지","제2종근린생활","25m이상","319","1047.00","200,000","null","201903","29"," ","1996"
"경기도 광주시 오포읍 매산리","일반","2**","매자리길","보전관리","제1종근린생활","8m미만","661.78","1263.00","100,900","null","201907","30"," ","2016"
"경기도 광주시 오포읍 매산리","일반","2**","-","보전관리","제1종근린생활","8m미만","197.96","1236.00","74,000","null","201909","30"," ","2013"
"경기도 광주시 오포읍 매산리","일반","7**","독산동길","계획관리","제2종근린생활","8m미만","157","330.00","33,500","null","201910","29"," ","1994"
"경기도 광주시 오포읍 매산리","일반","9*","매자리길","계획관리","제2종근린생활","8m미만","497.7","1456.00","118,590","null","201911","22"," ","2001"
"경기도 광주시 오포읍 문형리","일반","5**","오포로448번길","계획관리","제1종근린생활","8m미만","330","730.00","65,613","null","201904","1"," ","2001"
"경기도 광주시 오포읍 문형리","일반","4**","보뚱치길","계획관리","제2종근린생활","8m미만","625","1565.00","143,000","null","201904","15"," ","2010"
"경기도 광주시 오포읍 문형리","일반","6**","수렁개길","계획관리","제2종근린생활","8m미만","492.88","1355.00","128,925","null","201904","23"," ","2013"
"경기도 광주시 오포읍 문형리","일반","5**","오포로","계획관리","제2종근린생활","25m미만","178.75","415.00","98,987","null","201908","3"," ","1999"
"경기도 광주시 오포읍 문형리","일반","4**","오포로","계획관리","제2종근린생활","25m미만","239.54","237.00","72,000","null","201909","4"," ","1996"
"경기도 광주시 오포읍 문형리","일반","2**","오포로","계획관리","제2종근린생활","25m미만","330","909.00","236,000","null","201909","10"," ","2003"
"경기도 광주시 오포읍 문형리","일반","5**","보뚱치길","계획관리","제2종근린생활","8m미만","3.96","10.39","800","null","201909","27"," ","1996"
"경기도 광주시 오포읍 문형리","일반","2**","오포로","계획관리","제2종근린생활","8m미만","496.24","949.00","135,000","null","201910","29"," ","2004"
"경기도 광주시 오포읍 문형리","일반","5**","수렁개들길","계획관리","제2종근린생활","8m미만","135.8","445.00","40,000","null","201910","30"," ","2004"
"경기도 광주시 오포읍 문형리","일반","2**","봉골길","계획관리","제2종근린생활","12m미만","131.33","416.67","46,650","null","201911","4"," ","1996"
"경기도 광주시 오포읍 문형리","일반","7**","오포안로3번길","계획관리","제2종근린생활","8m미만","154.2","407.00","44,500","null","201911","14"," ","2016"
"경기도 광주시 오포읍 문형리","일반","1**","오포안로","계획관리","제1종근린생활","12m미만","792","1345.00","170,000","null","201911","20"," ","2011"
"경기도 광주시 오포읍 문형리","일반","6**","문형동림길","계획관리","제1종근린생활","8m미만","297","598.00","65,000","null","201912","28"," ","1995"
"경기도 광주시 오포읍 신현리","집합","9**","상태길72번길","계획관리","제2종근린생활","8m미만","65.34"," ","15,500","null","201901","7"," ","2013"
"경기도 광주시 오포읍 신현리","일반","6**","신현로","계획관리","제1종근린생활","25m미만","181","247.50","55,000","null","201901","16"," ","1998"
"경기도 광주시 오포읍 신현리","일반","6**","머루숯길","계획관리","제1종근린생활","8m미만","588.4","1764.00","121,200","null","201904","9"," ","1996"
"경기도 광주시 오포읍 신현리","일반","6**","-","계획관리","제1종근린생활","8m미만","260","870.00","101,220","null","201904","11"," ","2001"
"경기도 광주시 오포읍 신현리","일반","3**","태재로","계획관리","제2종근린생활","25m미만","998.4","1992.00","680,000","null","201906","19"," ","2010"
"경기도 광주시 오포읍 신현리","집합","3**","문형산길47번길","계획관리","제2종근린생활","8m미만","98.82"," ","21,000","null","201910","2"," ","2019"
"경기도 광주시 오포읍 신현리","일반","1***","상태길118번길","생산관리","제2종근린생활","8m미만","63","99.33","4,200","null","201912","16"," ","null"
"경기도 광주시 오포읍 신현리","일반","1***","-","생산관리","기타","8m미만","65.33","224.67","8,800","null","201912","16"," ","null"
"경기도 광주시 오포읍 양벌리","집합","3**","마루들길","자연녹지","제1종근린생활","12m미만","50.6"," ","11,800","1","201901","14"," ","2003"
"경기도 광주시 오포읍 양벌리","일반","9**","양벌로353번길","자연녹지","제2종근린생활","12m미만","85.39","386.00","35,000","null","201904","15"," ","1996"
"경기도 광주시 오포읍 양벌리","집합","3**","마루들길","제2종일반주거","제1종근린생활","25m미만","28.69"," ","7,800","2","201904","22"," ","2000"
"경기도 광주시 오포읍 양벌리","집합","3**","양벌로","제1종일반주거","제1종근린생활","25m미만","42"," ","32,500","1","201905","13"," ","2018"
"경기도 광주시 오포읍 양벌리","집합","3**","양벌로","제1종일반주거","제2종근린생활","25m미만","91.02"," ","27,404","2","201905","25"," ","2018"
"경기도 광주시 오포읍 양벌리","일반","1**","마루들길","자연녹지","제2종근린생활","8m미만","445.58","459.00","53,400","null","201905","30"," ","2000"
"경기도 광주시 오포읍 양벌리","집합","3**","양벌로","제1종일반주거","교육연구","25m미만","91.02"," ","25,500","null","201907","20"," ","2018"
"경기도 광주시 오포읍 양벌리","일반","6*","-","자연녹지","제2종근린생활","12m미만","162.99","334.00","76,523","null","201908","19"," ","1989"
"경기도 광주시 오포읍 양벌리","일반","4**","마루들길150번길","계획관리","제2종근린생활","8m미만","198.88","531.00","48,000","null","201909","4"," ","1995"
"경기도 광주시 오포읍 양벌리","일반","4**","마루들길150번길","계획관리","제2종근린생활","8m미만","197.8","330.00","30,000","null","201909","4"," ","1996"
"경기도 광주시 오포읍 양벌리","일반","6**","양벌로","제1종일반주거","제2종근린생활","25m이상","902.59","808.00","350,000","null","201909","24"," ","2019"
"경기도 광주시 오포읍 양벌리","집합","6**","양촌길","제1종일반주거","제1종근린생활","8m미만","31.6"," ","15,000","1","201910","6"," ","2018"
"경기도 광주시 오포읍 양벌리","일반","7*","마루들길35번길","자연녹지","제1종근린생활","8m미만","613.96","3157.00","227,500","null","201910","24"," ","2007"
"경기도 광주시 오포읍 추자리","일반","2**","오포로","계획관리","제2종근린생활","25m미만","396","869.00","128,967","null","201906","19"," ","1994"
"경기도 광주시 오포읍 추자리","일반","2**","오포로","계획관리","제2종근린생활","8m미만","216","1081.00","142,988","null","201906","19"," ","1998"
"경기도 광주시 오포읍 추자리","일반","6*","-","자연녹지","제2종근린생활","12m미만","326.7","302.00","45,150","null","201908","16"," ","1998"
"경기도 광주시 장지동","일반","5**","회안대로","제2종일반주거","제1종근린생활","25m이상","198","767.00","160,000","null","201901","18"," ","2003"
"경기도 광주시 장지동","일반","1**","포은대로","생산녹지","제1종근린생활","8m미만","23.4","120.00","31,760","null","201903","25"," ","2018"
"경기도 광주시 장지동","일반","2**","포은대로","자연녹지","제2종근린생활","8m미만","990.6","873.00","110,000","null","201904","3"," ","1997"
"경기도 광주시 장지동","집합","5**","회안대로","제2종일반주거","제2종근린생활","12m미만","38.4"," ","33,800","1","201907","15"," ","2018"
"경기도 광주시 장지동","집합","5**","회안대로","제2종일반주거","제2종근린생활","12m미만","27.9"," ","24,800","1","201907","15"," ","2018"
"경기도 광주시 장지동","집합","5**","회안대로","제2종일반주거","제2종근린생활","12m미만","50.66"," ","35,800","1","201907","15"," ","2018"
"경기도 광주시 장지동","집합","5**","회안대로","제2종일반주거","제2종근린생활","12m미만","58.6"," ","38,800","1","201907","15"," ","2018"
"경기도 광주시 장지동","집합","5**","회안대로","제2종일반주거","제2종근린생활","12m미만","38.4"," ","27,800","1","201907","15"," ","2018"
"경기도 광주시 장지동","집합","5**","회안대로","제2종일반주거","제2종근린생활","12m미만","60"," ","39,900","1","201907","15"," ","2018"
"경기도 광주시 장지동","집합","5**","회안대로","제2종일반주거","제2종근린생활","12m미만","55.05"," ","37,800","1","201907","15"," ","2018"
"경기도 광주시 장지동","집합","5**","회안대로","제2종일반주거","제2종근린생활","12m미만","47.52"," ","34,800","1","201907","15"," ","2018"
