center,zip,poi,name,score,reviews,price,price,link,address,X,Y,size
"8530 Waukegan Rd, Morton Grove, IL 60053, USA",60053,restaurant,Dairy Queen,3.8,97,1,1,link,"7011 Dempster Street, Niles",-87.801707,42.040206,10
"8530 Waukegan Rd, Morton Grove, IL 60053, USA",60053,restaurant,Miracle Restaurant,0,0,NA,NA,link,"7001 Dempster Street, Niles",-87.801292,42.040465,10
"8530 Waukegan Rd, Morton Grove, IL 60053, USA",60053,restaurant,McDonald's,3.9,481,1,1,link,"7969 N Milwaukee Ave, Niles",-87.813199,42.025806,10
"8530 Waukegan Rd, Morton Grove, IL 60053, USA",60053,restaurant,Lai Thai Restaurant,3,1,NA,NA,link,Morton Grove,-87.791656,42.041095,10
"8530 Waukegan Rd, Morton Grove, IL 60053, USA",60053,restaurant,Burt's Place,4.5,370,2,2,link,"8541 Ferris Ave, Morton Grove",-87.7847,42.036973,10
"8530 Waukegan Rd, Morton Grove, IL 60053, USA",60053,restaurant,Subway,3.8,43,1,1,link,"7188 Dempster Street, Morton Grove",-87.806016,42.041456,10
"8530 Waukegan Rd, Morton Grove, IL 60053, USA",60053,cafe,Dr. Juice Cafe,1,1,NA,NA,link,"9000 Waukegan Rd, Morton Grove",-87.80042,42.04459,10
"8530 Waukegan Rd, Morton Grove, IL 60053, USA",60053,cafe,Betty's Bistro,3.5,13,NA,NA,link,"7152 Dempster Street, Morton Grove",-87.805064,42.041356,10
"8530 Waukegan Rd, Morton Grove, IL 60053, USA",60053,cafe,Avalanche Bubble Tea,4.6,525,1,1,link,"6317 Dempster Street, Morton Grove",-87.784448,42.040661,10
"8530 Waukegan Rd, Morton Grove, IL 60053, USA",60053,cafe,Starbucks,4,221,2,2,link,"6763 Dempster Ave, Morton Grove",-87.795239,42.040499,10
"8530 Waukegan Rd, Morton Grove, IL 60053, USA",60053,cafe,Cafe Win,4.4,34,NA,NA,link,"7113 Dempster Street, Niles",-87.804792,42.040447,10
"8530 Waukegan Rd, Morton Grove, IL 60053, USA",60053,cafe,Teanation,0,0,NA,NA,link,"245 Golf Mill Ctr, Niles",-87.810756,42.032634,10
