zip,violent crime,property crime
01462,18.8,25.1
01463,18.2,23.1
01464,30.3,33.7
01465,,
01466,,
01467,8.5,11.0
01468,13.5,16.7
01469,12.0,16.1
01470,,
01471,,
01472,,
01473,10.6,15.0
01474,17.5,21.6
01475,25.3,29.6
01476,,
01477,,
01478,,
01479,,
01480,,
01481,,
01482,,
01483,,
01484,,
01485,,
01486,,
01487,,
01488,,
01489,,
01490,,
01491,,
01492,,
01493,,
01494,,
01495,,
01496,,
01497,,
01498,,
01499,,
01500,,
01501,18.6,26.2
01502,,
01503,10.7,15.0
01504,17.4,22.1
01505,11.0,14.4
01506,18.5,22.3
01507,15.5,19.4
01508,,
01509,,
01510,27.8,32.7
01511,,
01512,,
01513,,
01514,,
01515,14.7,18.5
01516,14.7,18.6
01517,,
01518,23.0,28.7
01519,11.7,15.2
01520,9.3,12.7
01521,17.5,22.2
01522,12.5,16.0
01523,18.4,22.4
01524,21.2,26.5
01525,56.6,62.2
01526,,
01527,21.7,27.7
01528,,
01529,19.1,23.2
01530,,
01531,16.9,20.4
01532,10.2,15.0
01533,,
01534,19.5,24.5
01535,18.1,22.9
01536,16.4,19.8
01537,33.0,37.4
01538,,
01539,,
01540,24.7,29.6
01541,7.9,11.2
01542,16.7,21.9
01543,11.3,15.5
01544,,
01545,15.0,19.8
01546,,
01547,,
01548,,
01549,,
01550,46.5,52.5
01551,,
01552,,
01553,,
01554,,
01555,,
01556,,
01557,,
01558,,
01559,,
01560,22.3,27.0
01561,24.9,31.9
01562,27.7,32.4
01563,,
01564,11.9,16.6
01565,,
01566,14.1,18.9
01567,,
01568,11.2,15.2
01569,18.3,23.3
01570,44.9,46.3
01571,25.6,27.9
01572,,
01573,,
01574,,
01575,,
01576,,
01577,,
01578,,
01579,,
01580,,
01581,16.2,21.8
01582,,
01583,23.7,28.5
01584,,
01585,19.9,24.5
01586,,
01587,,
01588,34.5,40.3
01589,,
01590,12.0,16.6
01591,,
01592,,
01593,,
01594,,
01595,,
01596,,
01597,,
01598,,
01599,,
01600,,
01601,,
01602,44.7,43.0
01603,61.6,60.7
01604,59.3,58.5
01605,71.3,70.0
01606,46.0,44.1
01607,56.4,55.9
01608,70.3,69.1
01609,53.7,53.2
01610,66.2,64.7
01611,30.4,36.5
01612,11.6,14.0
01613,,
01614,,
01615,,
01616,,
01617,,
01618,,
01619,,
01620,,
01621,,
01622,,
01623,,
01624,,
01625,,
01626,,
01627,,
01628,,
01629,,
01630,,
