zip,sales,restaurant_count,starbucks_count,supermarket_count,restaurant_mean,starbucks_mean,supermarket_mean,violent crime,property crime
60016,178.6795627,20,1,17,444.2,443.0,208.47058823529412,28.4,33.8
60018,208.60007140000002,20,5,14,742.6,242.8,247.07142857142858,26.3,31.2
